LATITUDE,LONGITUDE,ID
53.3446,-6.23322,803mb
53.295,-6.20285,804mb
53.3329,-6.2749,805mb
53.3631,-6.23577,806mb
53.3452,-6.23816,807mb
53.3413,-6.28367,808mb
53.3333,-6.24385,809mb
53.3771,-6.26981,810mb
53.3291,-6.23174,811mb
53.3414,-6.28369,812mb
53.3308,-6.26035,813mb
53.3343,-6.26548,814mb
53.3661,-6.27174,815mb
53.3458,-6.23796,816mb
53.2802,-6.14423,817mb
53.3254,-6.25505,818mb
53.3624,-6.23693,819mb
53.3443,-6.23355,820mb
53.3329,-6.27485,821mb
53.3433,-6.27586,822mb
53.3757,-6.24038,823mb
53.3413,-6.26468,824mb
53.308,-6.22892,825mb
53.3333,-6.24386,826mb
53.3291,-6.2318,827mb
53.2943,-6.1338,828mb
53.3342,-6.26569,829mb
53.2946,-6.13454,830mb
53.3457,-6.23803,831mb
53.3444,-6.23339,832mb
53.3329,-6.27477,833mb
53.3252,-6.25524,834mb
53.3342,-6.26566,835mb
53.3769,-6.26981,836mb
53.2947,-6.13443,837mb
53.3457,-6.23802,838mb
53.3629,-6.25874,839mb
53.3445,-6.2335,840mb
53.3334,-6.24372,841mb
53.3443,-6.23276,842mb
53.2949,-6.20324,843mb
53.3291,-6.23178,844mb
53.3478,-6.24001,845mb
53.3342,-6.26565,846mb
53.2948,-6.13442,847mb
53.3657,-6.32259,848mb
53.3456,-6.23798,849mb
53.363,-6.25871,850mb
53.3816,-6.24187,851mb
53.3448,-6.2328,852mb
53.377,-6.26965,853mb
53.3561,-6.25655,854mb
53.3632,-6.23585,855mb
53.3334,-6.24374,856mb
53.3443,-6.23284,857mb
53.2949,-6.20308,858mb
53.3207,-6.28532,859mb
53.2943,-6.13378,860mb
53.3476,-6.24018,861mb
53.3341,-6.26558,862mb
53.3456,-6.23794,863mb
53.363,-6.25868,864mb
53.3254,-6.2551,865mb
53.3817,-6.24179,866mb
53.3625,-6.237,867mb
53.3665,-6.31904,868mb
53.3444,-6.23366,869mb
53.377,-6.26967,870mb
53.295,-6.20291,871mb
53.3561,-6.25657,872mb
53.3451,-6.23803,873mb
53.3432,-6.27582,874mb
53.3414,-6.26462,875mb
53.3413,-6.2836,876mb
53.3442,-6.23327,877mb
53.3119,-6.27472,878mb
53.3208,-6.28535,879mb
53.3476,-6.24022,880mb
53.3456,-6.23793,881mb
53.3444,-6.23318,882mb
53.3561,-6.25659,883mb
53.3631,-6.23585,884mb
53.3432,-6.27584,885mb
53.3413,-6.28361,886mb
53.3334,-6.24377,887mb
53.3443,-6.2333,888mb
53.3475,-6.2402,889mb
53.2928,-6.13013,890mb
53.3457,-6.23792,891mb
53.2802,-6.14417,892mb
53.3446,-6.23318,893mb
53.3451,-6.23815,894mb
53.3432,-6.27585,895mb
53.3757,-6.2404,896mb
53.3333,-6.24395,897mb
53.3443,-6.23331,898mb
53.3119,-6.27476,899mb
53.3476,-6.23994,900mb
53.3342,-6.26562,901mb
53.3466,-6.2378,902mb
53.2802,-6.1442,903mb
53.3818,-6.24162,904mb
53.3445,-6.23343,905mb
53.3561,-6.2566,906mb
